Data;Ordine #;Transazioni;Simbolo;Nome;ISIN;Quantità;Prezzo unit.;Costi;Interesse maturati;Importo netto;Valuta Importo netto;Importo netto in valuta di conto;Saldo;Valuta
19-09-2025 15:41:35;260312215;Acquisto;ARM;"ARM HOLDINGS ADR";US0420682058;12.0;144.2772;12.60;0.00;-1743.93;USD;-1743.93;158.82;USD
19-09-2025 15:30:18;260307740;Rettif. costi Borsa;NVDA;"NVIDIA ORD";US67066G1040;1.0;0.04;0.00;0.00;0.04;USD;0.04;1902.75;USD
19-09-2025 15:30:03;260307740;Vendita;NVDA;"NVIDIA ORD";US67066G1040;10.0;176.14;12.68;0.00;1748.72;USD;1748.72;1902.71;USD
18-09-2025 15:35:57;259881538;Rettif. costi Borsa;PLTR;"PALANTIR TECHNOLOGIES CL A ORD";US69608A1088;1.0;0.02;0.00;0.00;0.02;USD;0.02;153.99;USD
18-09-2025 15:35:50;260034588;Acquisto;AMD;"ADVANCED MICRO DEVICES ORD";US0079031078;6.0;151.8595;6.37;0.00;-917.53;USD;-917.53;153.97;USD
18-09-2025 15:32:36;259881538;Vendita;PLTR;"PALANTIR TECHNOLOGIES CL A ORD";US69608A1088;5.0;172.72;6.32;0.00;857.28;USD;857.28;1071.50;USD
17-09-2025 21:02:11;259880659;Acquisto;NVDA;"NVIDIA ORD";US67066G1040;30.0;170.2799;37.66;0.00;-5146.06;USD;-5146.06;214.22;USD
17-09-2025 20:53:08;259875184;Rettif. costi Borsa;NVDA;"NVIDIA ORD";US67066G1040;1.0;0.12;0.00;0.00;0.12;USD;0.12;5360.28;USD
17-09-2025 20:53:06;259875184;Vendita;NVDA;"NVIDIA ORD";US67066G1040;31.0;168.49;37.95;0.00;5185.24;USD;5185.24;5360.16;USD
17-09-2025 19:00:29;259867127;Acquisto;PLTR;"PALANTIR TECHNOLOGIES CL A ORD";US69608A1088;3.0;164.50;2.74;0.00;-496.24;USD;-496.24;174.92;USD
17-09-2025 19:00:29;259867127;Acquisto;PLTR;"PALANTIR TECHNOLOGIES CL A ORD";US69608A1088;2.0;164.50;3.49;0.00;-332.49;USD;-332.49;671.16;USD
17-09-2025 19:00:29;259867148;Acquisto;NVDA;"NVIDIA ORD";US67066G1040;5.0;169.8899;6.27;0.00;-855.72;USD;-855.72;1003.65;USD
16-09-2025 17:51:09;259658441;Acquisto;ETH;"ETH";EX0X00ETH000;0.03159386;3758.90;1.19;0.00;-119.95;EUR;-119.95;9.08;EUR
16-09-2025 10:00:25;259550081;Acquisto;BTC;"BTC";EX0X00XBT000;0.00020349;98286.00;0.20;0.00;-20.20;EUR;-20.20;129.03;EUR
16-09-2025 10:00:21;259549646;Acquisto;ETH;"ETH";EX0X00ETH000;0.00522262;3829.50;0.20;0.00;-20.20;EUR;-20.20;149.23;EUR
16-09-2025 10:00:19;259549619;Acquisto;XRP;"XRP";EX0X00XRP000;7.83478016;2.55272;0.20;0.00;-20.20;EUR;-20.20;169.43;EUR
15-09-2025 09:18:47;259358709;Accredito Forex;;;;1.0;100.00;0.00;0.00;100.00;EUR;100.00;189.63;EUR
15-09-2025 09:18:47;259358709;Addebito Forex;;;;1.0;94.37;0.00;0.00;-94.37;CHF;-94.37;11.87;CHF
15-09-2025 07:21:19;00000000;Pagamento;;;;1.0;100.00;0.00;0.00;100.00;CHF;100.00;106.24;CHF
14-09-2025 22:14:16;259293201;Vendita;ETH;"ETH";EX0X00ETH000;0.01608242;3930.60;0.63;0.00;62.58;EUR;62.58;89.63;EUR
14-09-2025 12:00:20;00000000;Servizi Paganti;;;;1.0;-10.00;0.00;0.00;-10.00;USD;-10.00;1859.37;USD
12-09-2025 20:01:56;259067415;Acquisto;AMD;"ADVANCED MICRO DEVICES ORD";US0079031078;4.0;159.00;2.95;0.00;-638.95;USD;-638.95;1869.37;USD
12-09-2025 20:01:56;259067415;Acquisto;AMD;"ADVANCED MICRO DEVICES ORD";US0079031078;2.0;159.00;3.48;0.00;-321.48;USD;-321.48;2508.32;USD
12-09-2025 20:00:19;259067349;Rettif. costi Borsa;CRWV;"COREWEAVE CL A ORD";US21873S1087;1.0;0.02;0.00;0.00;0.02;USD;0.02;2829.80;USD
12-09-2025 20:00:17;259067349;Vendita;CRWV;"COREWEAVE CL A ORD";US21873S1087;8.0;108.0007;6.32;0.00;857.69;USD;857.69;2829.78;USD
12-09-2025 15:32:22;258886160;Acquisto;AMD;"ADVANCED MICRO DEVICES ORD";US0079031078;6.0;156.47;6.41;0.00;-945.23;USD;-945.23;1972.09;USD
10-09-2025 15:39:10;257700018;Rettif. costi Borsa;ARM;"ARM HOLDINGS ADR";US0420682058;1.0;0.02;0.00;0.00;0.02;USD;0.02;2917.32;USD
10-09-2025 15:39:10;257700018;Vendita;ARM;"ARM HOLDINGS ADR";US0420682058;4.0;147.00;2.89;0.00;585.11;USD;585.11;2917.30;USD
10-09-2025 15:39:10;257700018;Vendita;ARM;"ARM HOLDINGS ADR";US0420682058;2.0;147.00;3.45;0.00;290.55;USD;290.55;2332.19;USD
10-09-2025 15:35:18;258240828;Rettif. costi Borsa;CRWV;"COREWEAVE CL A ORD";US21873S1087;1.0;0.02;0.00;0.00;0.02;USD;0.02;2041.64;USD
10-09-2025 15:32:42;258240828;Vendita;CRWV;"COREWEAVE CL A ORD";US21873S1087;6.0;115.50;3.05;0.00;689.95;USD;689.95;2041.62;USD
10-09-2025 15:32:42;258240828;Vendita;CRWV;"COREWEAVE CL A ORD";US21873S1087;2.0;115.50;3.36;0.00;227.64;USD;227.64;1351.67;USD
10-09-2025 15:32:21;258233424;Rettif. costi Borsa;CRWV;"COREWEAVE CL A ORD";US21873S1087;1.0;0.02;0.00;0.00;0.02;USD;0.02;1124.03;USD
10-09-2025 15:30:16;258233424;Vendita;CRWV;"COREWEAVE CL A ORD";US21873S1087;9.0;110.9406;6.52;0.00;991.95;USD;991.95;1124.01;USD
09-09-2025 15:49:16;257929018;Acquisto;AMD;"ADVANCED MICRO DEVICES ORD";US0079031078;3.0;152.50;2.68;0.00;-460.18;USD;-460.18;132.06;USD
09-09-2025 15:49:16;257929018;Acquisto;AMD;"ADVANCED MICRO DEVICES ORD";US0079031078;2.0;152.50;3.46;0.00;-308.46;USD;-308.46;592.24;USD
09-09-2025 15:35:37;257926860;Rettif. costi Borsa;CRWV;"COREWEAVE CL A ORD";US21873S1087;1.0;0.02;0.00;0.00;0.02;USD;0.02;900.70;USD
