Data;Ordine #;Transazioni;Simbolo;Nome;ISIN;Quantità;Prezzo unit.;Costi;Interesse maturati;Importo netto;Saldo;Valuta
07-01-2026 17:10:32;276537830;Acquisto;ZSIL;"Swisscanto Silver ETF-A CHF";CH0183135976;50.0;176.2548;16.46;0.00;-8829.21;6606.81;CHF
07-01-2026 14:12:21;276510316;Vendita;ZSIL;"Swisscanto Silver ETF-A CHF";CH0183135976;50.0;175.8033;16.44;0.00;8773.71;15436.02;CHF
07-01-2026 14:11:43;276510184;Vendita;ZGLD;"Swisscanto GOLD ETF";CH0139101593;10.0;1045.36;17.69;0.00;10435.91;6662.31;CHF
06-01-2026 19:06:30;276422492;Acquisto;AMD;"ADVANCED MICRO DEVICES ORD";US0079031078;40.0;212.1892;42.73;0.00;-8530.30;-21947.36;USD
06-01-2026 18:29:07;276418812;Rettif. costi Borsa;INTC;"INTEL ORD";US4581401001;1.0;0.04;0.00;0.00;0.04;-13417.06;USD
06-01-2026 18:29:05;276418812;Vendita;INTC;"INTEL ORD";US4581401001;40.0;39.7001;12.42;0.00;1575.58;-13417.10;USD
06-01-2026 18:28:51;276418651;Rettif. costi Borsa;INTC;"INTEL ORD";US4581401001;1.0;0.01;0.00;0.00;0.01;-14992.68;USD
06-01-2026 18:28:47;276418651;Vendita;INTC;"INTEL ORD";US4581401001;10.0;39.6901;3.61;0.00;393.29;-14992.69;USD
06-01-2026 18:07:00;276232117;Rettif. costi Borsa;AMZN;"AMAZON COM ORD";US0231351067;1.0;0.22;0.00;0.00;0.22;-15385.98;USD
06-01-2026 18:06:58;276232117;Vendita;AMZN;"AMAZON COM ORD";US0231351067;30.0;240.00;10.97;0.00;7189.03;-15386.20;USD
06-01-2026 18:06:57;276232117;Vendita;AMZN;"AMAZON COM ORD";US0231351067;10.0;240.00;33.65;0.00;2366.35;-22575.23;USD
06-01-2026 17:25:36;276410589;Acquisto;AAPL;"APPLE ORD";US0378331005;15.0;262.50;25.91;0.00;-3963.41;-24941.58;USD
06-01-2026 17:25:36;276410589;Acquisto;AAPL;"APPLE ORD";US0378331005;5.0;262.50;11.97;0.00;-1324.47;-20978.17;USD
06-01-2026 10:33:04;276350392;Acquisto;ZSIL;"Swisscanto Silver ETF-A CHF";CH0183135976;20.0;177.04;14.54;0.00;-3555.34;-3773.60;CHF
06-01-2026 07:59:03;276322539;Accredito Forex;;;;1.0;3681.29;0.00;0.00;3681.29;-218.26;CHF
06-01-2026 07:59:03;276322539;Addebito Forex;;;;1.0;4002.00;0.00;0.00;-4002.00;0.00;EUR
05-01-2026 11:21:33;00000000;Pagamento;;;;1.0;4002.00;0.00;0.00;4002.00;4002.00;EUR
05-01-2026 09:03:54;275550852;Acquisto;ZGLD;"Swisscanto GOLD ETF";CH0139101593;10.0;1040.40;20.71;0.00;-10424.71;-3899.55;CHF
05-01-2026 08:11:20;275546486;Accredito Forex;;;;1.0;10162.51;0.00;0.00;10162.51;6525.16;CHF
05-01-2026 08:11:20;275546486;Addebito Forex;;;;1.0;11055.83;0.00;0.00;-11055.83;0.00;EUR
05-01-2026 08:10:01;00000000;Versamento;;;;1.0;11061.07;0.00;0.00;11061.07;11055.83;EUR
02-01-2026 18:16:38;275448688;Acquisto;AMZN;"AMAZON COM ORD";US0231351067;20.0;226.5596;36.80;0.00;-4567.99;-19653.70;USD
01-01-2026 16:39:01;00000000;Interessi su Addebiti;;;;1.0;151.95;0.00;0.00;-151.95;-15085.71;USD
01-01-2026 16:35:35;00000000;Interessi su Addebiti;;;;1.0;28.74;0.00;0.00;-28.74;-3637.35;CHF
01-01-2026 14:19:48;00000000;Interessi su Addebiti;;;;1.0;5.24;0.00;0.00;-5.24;-5.24;EUR
